,n_genes,dataset
W120941,360,bahar_2017
W120942,528,bahar_2017
W120944,458,bahar_2017
W120945,1555,bahar_2017
W120946,1070,bahar_2017
W120947,1048,bahar_2017
W120948,516,bahar_2017
W120949,722,bahar_2017
W120950,1994,bahar_2017
W120952,515,bahar_2017
W120953,1802,bahar_2017
W120954,1050,bahar_2017
W120955,1472,bahar_2017
W120956,1842,bahar_2017
W120958,748,bahar_2017
W120961,1769,bahar_2017
W120962,966,bahar_2017
W120963,1702,bahar_2017
W120964,691,bahar_2017
W120967,2786,bahar_2017
W120969,1507,bahar_2017
W120970,456,bahar_2017
W120971,3398,bahar_2017
W120972,432,bahar_2017
W120973,557,bahar_2017
W120974,439,bahar_2017
W120975,1433,bahar_2017
W120976,532,bahar_2017
W176081,2797,bahar_2017
W176082,2385,bahar_2017
W176083,2939,bahar_2017
W176084,3523,bahar_2017
W176085,3087,bahar_2017
W176086,3565,bahar_2017
W176087,3961,bahar_2017
W176089,2582,bahar_2017
W176090,3530,bahar_2017
W176091,3499,bahar_2017
W176092,3079,bahar_2017
W176093,2980,bahar_2017
W176094,3895,bahar_2017
W176095,2918,bahar_2017
W176096,2929,bahar_2017
W176097,2622,bahar_2017
W176098,2541,bahar_2017
W176099,3572,bahar_2017
W176100,3517,bahar_2017
W176101,3541,bahar_2017
W176102,3522,bahar_2017
W176103,3611,bahar_2017
W176104,3044,bahar_2017
W176105,3997,bahar_2017
W176106,3267,bahar_2017
W176107,2971,bahar_2017
W176108,2664,bahar_2017
W176110,3793,bahar_2017
W176111,3268,bahar_2017
W176112,4098,bahar_2017
W176113,589,bahar_2017
W176114,2741,bahar_2017
W176115,3655,bahar_2017
W176116,4384,bahar_2017
W176117,3003,bahar_2017
W176118,3941,bahar_2017
W176119,3650,bahar_2017
W176120,2483,bahar_2017
W176121,3937,bahar_2017
W176122,3985,bahar_2017
W176123,3349,bahar_2017
W176124,3690,bahar_2017
W176125,3262,bahar_2017
W176126,2309,bahar_2017
W176127,3709,bahar_2017
W176128,2915,bahar_2017
W176129,3806,bahar_2017
W176130,3668,bahar_2017
W176131,3512,bahar_2017
W176132,2210,bahar_2017
W176133,3420,bahar_2017
W176134,4029,bahar_2017
W176135,3781,bahar_2017
W176136,3398,bahar_2017
W176137,3571,bahar_2017
W176138,3644,bahar_2017
W176139,3047,bahar_2017
W176140,3248,bahar_2017
W176141,3223,bahar_2017
W176142,2541,bahar_2017
W176143,3621,bahar_2017
W176144,3262,bahar_2017
W176146,3983,bahar_2017
W176147,3665,bahar_2017
W176148,3737,bahar_2017
W176149,3461,bahar_2017
W176150,2615,bahar_2017
W176151,3326,bahar_2017
W176152,3123,bahar_2017
W176153,3378,bahar_2017
W176154,3319,bahar_2017
W176156,3336,bahar_2017
W176157,2114,bahar_2017
W176158,1543,bahar_2017
W176159,3342,bahar_2017
W176160,3164,bahar_2017
W176161,3146,bahar_2017
W176162,2926,bahar_2017
W176163,3546,bahar_2017
W176164,3004,bahar_2017
W176165,3809,bahar_2017
W176166,3407,bahar_2017
W176167,3846,bahar_2017
W176168,3347,bahar_2017
W176169,2764,bahar_2017
W176170,2853,bahar_2017
W176171,3107,bahar_2017
W176172,3583,bahar_2017
W176173,3320,bahar_2017
W176174,3818,bahar_2017
W176175,3689,bahar_2017
W176176,3208,bahar_2017
W176233,3251,bahar_2017
W176265,3253,bahar_2017
W176321,2671,bahar_2017
W176341,2443,bahar_2017
W176353,3105,bahar_2017
W176354,2423,bahar_2017
W176360,2947,bahar_2017
W176366,2494,bahar_2017
W176368,2709,bahar_2017
W176369,3678,bahar_2017
W176422,3686,bahar_2017
W176461,476,bahar_2017
W176462,3691,bahar_2017
W176465,3700,bahar_2017
W176466,3183,bahar_2017
W176467,1972,bahar_2017
W176468,2851,bahar_2017
W176469,2839,bahar_2017
W176470,1902,bahar_2017
W176471,3007,bahar_2017
W176473,2470,bahar_2017
W176474,3005,bahar_2017
W176475,2742,bahar_2017
W176479,3740,bahar_2017
W176480,2984,bahar_2017
W176481,2569,bahar_2017
W176482,1779,bahar_2017
W176487,1068,bahar_2017
W176488,3069,bahar_2017
W176489,2722,bahar_2017
W176490,2972,bahar_2017
W176495,2659,bahar_2017
W176498,2571,bahar_2017
W176502,548,bahar_2017
W176504,2317,bahar_2017
W176506,3301,bahar_2017
W176528,3785,bahar_2017
W176529,3055,bahar_2017
W176530,3597,bahar_2017
W176538,2739,bahar_2017
W176544,3201,bahar_2017
W176545,2601,bahar_2017
W176547,3256,bahar_2017
W176553,3454,bahar_2017
W176554,2842,bahar_2017
W176559,3607,bahar_2017
W176560,2435,bahar_2017
W176658,3223,bahar_2017
W176663,3083,bahar_2017
W176704,1712,bahar_2017
W180113,1783,bahar_2017
W180114,2498,bahar_2017
W180115,2593,bahar_2017
W180116,913,bahar_2017
W180118,1527,bahar_2017
W180119,1652,bahar_2017
W180120,800,bahar_2017
W180121,2460,bahar_2017
W180122,2241,bahar_2017
W180123,2871,bahar_2017
W180124,2102,bahar_2017
W180125,2477,bahar_2017
W180126,3033,bahar_2017
W180127,2992,bahar_2017
W180128,3082,bahar_2017
W180129,1886,bahar_2017
W180130,2260,bahar_2017
W180131,2327,bahar_2017
W180132,1870,bahar_2017
W180133,2010,bahar_2017
W180134,2709,bahar_2017
W180135,2362,bahar_2017
W180136,2144,bahar_2017
W180146,1134,bahar_2017
W180154,1121,bahar_2017
W180178,1045,bahar_2017
W180186,1101,bahar_2017
W180193,1097,bahar_2017
W180209,2871,bahar_2017
W180210,2586,bahar_2017
W180211,1459,bahar_2017
W180212,1070,bahar_2017
W180213,752,bahar_2017
W180214,1017,bahar_2017
W180215,2476,bahar_2017
W180217,1372,bahar_2017
W180218,2403,bahar_2017
W180219,2713,bahar_2017
W180220,3872,bahar_2017
W180221,2549,bahar_2017
W180222,3539,bahar_2017
W180223,3358,bahar_2017
W180224,3058,bahar_2017
W180225,996,bahar_2017
W180226,3024,bahar_2017
W180227,2261,bahar_2017
W180228,1048,bahar_2017
W180229,1421,bahar_2017
W180230,2247,bahar_2017
W180231,2226,bahar_2017
W180232,1444,bahar_2017
W180233,1311,bahar_2017
W180234,1739,bahar_2017
W180241,1000,bahar_2017
W180249,1012,bahar_2017
W180250,1730,bahar_2017
W180257,1633,bahar_2017
W180265,1655,bahar_2017
W180273,1255,bahar_2017
W180281,1542,bahar_2017
W180305,1674,bahar_2017
W180306,2673,bahar_2017
W180307,876,bahar_2017
W180308,1186,bahar_2017
W180309,1513,bahar_2017
W180310,1684,bahar_2017
W180311,2237,bahar_2017
W180313,916,bahar_2017
W180314,2970,bahar_2017
W180315,2437,bahar_2017
W180316,2247,bahar_2017
W180317,1443,bahar_2017
W180318,1930,bahar_2017
W180319,3164,bahar_2017
W180320,3031,bahar_2017
W180321,1611,bahar_2017
W180324,1273,bahar_2017
W180330,1205,bahar_2017
W180331,1043,bahar_2017
W180338,1285,bahar_2017
W180354,1052,bahar_2017
W180393,458,bahar_2017
W180394,899,bahar_2017
W180395,969,bahar_2017
W180396,1096,bahar_2017
W180401,1791,bahar_2017
W180402,3342,bahar_2017
W180403,3344,bahar_2017
W180404,1746,bahar_2017
W180405,2436,bahar_2017
W180406,1260,bahar_2017
W180407,2568,bahar_2017
W180409,3166,bahar_2017
W180410,3696,bahar_2017
W180411,2530,bahar_2017
W180412,2582,bahar_2017
W180413,2549,bahar_2017
W180414,1885,bahar_2017
W180416,2132,bahar_2017
W180417,892,bahar_2017
W180424,2688,bahar_2017
W180425,1106,bahar_2017
W180433,1433,bahar_2017
W180441,1313,bahar_2017
W180449,1169,bahar_2017
W180457,1391,bahar_2017
W180465,1356,bahar_2017
W180473,1502,bahar_2017
W180488,2434,bahar_2017
W180489,2863,bahar_2017
W180490,904,bahar_2017
W180497,3202,bahar_2017
W180499,2676,bahar_2017
W180501,4196,bahar_2017
W180503,4779,bahar_2017
W180506,3512,bahar_2017
W180511,2686,bahar_2017
W180512,2555,bahar_2017
W180521,2929,bahar_2017
W180525,3787,bahar_2017
W180526,4474,bahar_2017
W180527,3622,bahar_2017
W180528,519,bahar_2017
W180529,582,bahar_2017
W180533,455,bahar_2017
W180535,3522,bahar_2017
W180536,4011,bahar_2017
W180545,2614,bahar_2017
W180547,746,bahar_2017
W180552,649,bahar_2017
W180553,3187,bahar_2017
W180554,2655,bahar_2017
W180560,3769,bahar_2017
W180561,2978,bahar_2017
W180562,4494,bahar_2017
W180564,516,bahar_2017
W180568,4437,bahar_2017
W180576,2930,bahar_2017
W180577,3189,bahar_2017
W180583,681,bahar_2017
W180591,4927,bahar_2017
W180592,728,bahar_2017
W180727,494,bahar_2017
W180761,3741,bahar_2017
W182033,1243,bahar_2017
W182034,2515,bahar_2017
W182035,1304,bahar_2017
W182036,1193,bahar_2017
W182038,407,bahar_2017
W182039,506,bahar_2017
W182041,3029,bahar_2017
W182042,1080,bahar_2017
W182043,2159,bahar_2017
W182044,2089,bahar_2017
W182045,2278,bahar_2017
W182047,2223,bahar_2017
W182049,1853,bahar_2017
W182051,2489,bahar_2017
W182052,2566,bahar_2017
W182053,2240,bahar_2017
W182054,2501,bahar_2017
W182055,3154,bahar_2017
W182056,2118,bahar_2017
W182057,2056,bahar_2017
W182058,1766,bahar_2017
W182059,2109,bahar_2017
W182060,2252,bahar_2017
W182061,2679,bahar_2017
W182062,2789,bahar_2017
W182063,3771,bahar_2017
W182064,1028,bahar_2017
W182065,1101,bahar_2017
W182068,2563,bahar_2017
W182069,2421,bahar_2017
W182070,2456,bahar_2017
W182071,2066,bahar_2017
W182072,2484,bahar_2017
W182073,2533,bahar_2017
W182074,1412,bahar_2017
W182075,485,bahar_2017
W182076,4073,bahar_2017
W182077,1358,bahar_2017
W182078,2487,bahar_2017
W182079,3237,bahar_2017
W182080,2904,bahar_2017
W182081,2926,bahar_2017
W182082,1228,bahar_2017
W182083,2556,bahar_2017
W182084,2203,bahar_2017
W182085,2424,bahar_2017
W182086,2667,bahar_2017
W182087,2916,bahar_2017
W182088,3415,bahar_2017
W182089,849,bahar_2017
W182090,1223,bahar_2017
W182091,2781,bahar_2017
W182092,2208,bahar_2017
W182093,878,bahar_2017
W182094,2106,bahar_2017
W182095,1286,bahar_2017
W182097,2082,bahar_2017
W182098,2778,bahar_2017
W182099,495,bahar_2017
W182100,2848,bahar_2017
W182101,2450,bahar_2017
W182102,3410,bahar_2017
W182103,2521,bahar_2017
W182104,2905,bahar_2017
W182105,2211,bahar_2017
W182106,1171,bahar_2017
W182107,3319,bahar_2017
W182108,2762,bahar_2017
W182109,2835,bahar_2017
W182110,3165,bahar_2017
W182111,1279,bahar_2017
W182112,842,bahar_2017
W182113,718,bahar_2017
W182114,1444,bahar_2017
W182115,1674,bahar_2017
W182116,3163,bahar_2017
W182117,3825,bahar_2017
W182118,3346,bahar_2017
W182119,2989,bahar_2017
W182120,5226,bahar_2017
W182122,2083,bahar_2017
W182123,1511,bahar_2017
W182126,439,bahar_2017
W182127,2574,bahar_2017
W182128,1569,bahar_2017
W182129,2454,bahar_2017
W182130,2251,bahar_2017
W182131,978,bahar_2017
W182132,805,bahar_2017
W182133,1824,bahar_2017
W182134,857,bahar_2017
W182135,2092,bahar_2017
W182137,679,bahar_2017
W182138,1236,bahar_2017
W182139,2121,bahar_2017
W182140,2330,bahar_2017
W182142,2162,bahar_2017
W182143,2297,bahar_2017
W182144,814,bahar_2017
W182145,1257,bahar_2017
W182146,2009,bahar_2017
W182149,1139,bahar_2017
W182150,3944,bahar_2017
W182152,2192,bahar_2017
W182153,761,bahar_2017
W182154,3595,bahar_2017
W182155,3121,bahar_2017
W182158,1823,bahar_2017
W182159,2467,bahar_2017
W182160,2273,bahar_2017
W182162,1505,bahar_2017
W182163,881,bahar_2017
W182164,2084,bahar_2017
W182166,1856,bahar_2017
W182168,3890,bahar_2017
W182170,1281,bahar_2017
W182174,2963,bahar_2017
W182175,2158,bahar_2017
W182176,2425,bahar_2017
W182177,549,bahar_2017
W182182,1634,bahar_2017
W182183,1724,bahar_2017
W182184,2696,bahar_2017
W182185,558,bahar_2017
W182188,2257,bahar_2017
W182189,1645,bahar_2017
W182190,1866,bahar_2017
W182192,3119,bahar_2017
W182193,747,bahar_2017
W182194,2863,bahar_2017
W182195,1001,bahar_2017
W182196,2516,bahar_2017
W182199,2059,bahar_2017
W182200,1237,bahar_2017
W182201,1059,bahar_2017
W182202,3962,bahar_2017
W182203,2301,bahar_2017
W182204,3209,bahar_2017
W182206,2491,bahar_2017
W182208,1994,bahar_2017
W182209,974,bahar_2017
W182210,3076,bahar_2017
W182211,3502,bahar_2017
W182212,2058,bahar_2017
W182213,2487,bahar_2017
W182214,2808,bahar_2017
W182215,1306,bahar_2017
W182216,1990,bahar_2017
W182217,799,bahar_2017
W182218,1416,bahar_2017
W182219,586,bahar_2017
W182220,1426,bahar_2017
W182221,2991,bahar_2017
W182222,2463,bahar_2017
W182223,2208,bahar_2017
W182224,3537,bahar_2017
W182225,448,bahar_2017
W182228,1892,bahar_2017
W182229,2572,bahar_2017
W182233,2066,bahar_2017
W182234,2382,bahar_2017
W182235,1580,bahar_2017
W182236,2628,bahar_2017
W182237,2210,bahar_2017
W182238,1910,bahar_2017
W182239,1242,bahar_2017
W182240,2422,bahar_2017
W182242,1350,bahar_2017
W182243,2251,bahar_2017
W182244,2403,bahar_2017
W182245,1189,bahar_2017
W182246,2228,bahar_2017
W182247,2197,bahar_2017
W182248,768,bahar_2017
W182249,2052,bahar_2017
W182250,1062,bahar_2017
W182251,537,bahar_2017
W182252,1689,bahar_2017
W182253,2028,bahar_2017
W182254,2013,bahar_2017
W182255,1627,bahar_2017
W182256,2575,bahar_2017
W182258,784,bahar_2017
W182259,539,bahar_2017
W182261,2833,bahar_2017
W182262,2203,bahar_2017
W182263,1874,bahar_2017
W182264,2275,bahar_2017
W182265,890,bahar_2017
W182266,1377,bahar_2017
W182267,2828,bahar_2017
W182268,2556,bahar_2017
W182269,2069,bahar_2017
W182270,1956,bahar_2017
W182271,1798,bahar_2017
W182272,1923,bahar_2017
W182273,1975,bahar_2017
W182275,2212,bahar_2017
W182276,2046,bahar_2017
W182277,2593,bahar_2017
W182278,2313,bahar_2017
W182279,864,bahar_2017
W182280,1832,bahar_2017
W182282,708,bahar_2017
W182283,2696,bahar_2017
W182284,2226,bahar_2017
W182287,1596,bahar_2017
W182288,2395,bahar_2017
W182289,2171,bahar_2017
W182290,910,bahar_2017
W182291,676,bahar_2017
W182292,1966,bahar_2017
W182293,2372,bahar_2017
W182294,2609,bahar_2017
W182295,2227,bahar_2017
W182296,1980,bahar_2017
W182297,2227,bahar_2017
W182298,695,bahar_2017
W182299,602,bahar_2017
W182300,2121,bahar_2017
W182301,2217,bahar_2017
W182302,2630,bahar_2017
W182303,2344,bahar_2017
W182304,2494,bahar_2017
W182305,4100,bahar_2017
W182306,870,bahar_2017
W182307,2546,bahar_2017
W182310,1805,bahar_2017
W182311,2349,bahar_2017
W182312,1692,bahar_2017
W182313,2233,bahar_2017
W182314,3072,bahar_2017
W182315,696,bahar_2017
W182316,908,bahar_2017
W182319,3079,bahar_2017
W182320,558,bahar_2017
W182321,726,bahar_2017
W182323,2411,bahar_2017
W182324,1234,bahar_2017
W182327,905,bahar_2017
W182329,2687,bahar_2017
W182330,1173,bahar_2017
W182331,2537,bahar_2017
W182332,2226,bahar_2017
W182334,2482,bahar_2017
W182335,2433,bahar_2017
W182336,787,bahar_2017
W182337,1437,bahar_2017
W182338,1000,bahar_2017
W182344,2051,bahar_2017
W182345,590,bahar_2017
W182346,2867,bahar_2017
W182347,2466,bahar_2017
W182348,2420,bahar_2017
W182352,3419,bahar_2017
W182353,987,bahar_2017
W182355,1600,bahar_2017
W182356,1965,bahar_2017
W182357,1543,bahar_2017
W182358,2890,bahar_2017
W182360,2895,bahar_2017
W182361,994,bahar_2017
W182362,1589,bahar_2017
W182363,2496,bahar_2017
W182367,1823,bahar_2017
W182368,1901,bahar_2017
W182369,1254,bahar_2017
W182370,820,bahar_2017
W182371,2167,bahar_2017
W182374,2365,bahar_2017
W182375,1784,bahar_2017
W182376,1797,bahar_2017
W182377,1319,bahar_2017
W182378,1059,bahar_2017
W182379,2424,bahar_2017
W182380,2826,bahar_2017
W182382,2311,bahar_2017
W182383,2395,bahar_2017
W182385,1308,bahar_2017
W182386,4281,bahar_2017
W182387,1070,bahar_2017
W182388,2825,bahar_2017
W182389,2281,bahar_2017
W182392,1001,bahar_2017
W182393,2312,bahar_2017
W182394,3288,bahar_2017
W182395,2075,bahar_2017
W182396,3567,bahar_2017
W182398,3579,bahar_2017
W182399,1633,bahar_2017
W182400,3147,bahar_2017
W182401,903,bahar_2017
W182403,2837,bahar_2017
W182405,2872,bahar_2017
W182406,3170,bahar_2017
W182409,4084,bahar_2017
W182410,1005,bahar_2017
W182411,1055,bahar_2017
W182412,3811,bahar_2017
W182413,1527,bahar_2017
W182414,4041,bahar_2017
W182416,2922,bahar_2017
W182417,2397,bahar_2017
W182418,1882,bahar_2017
W182420,1837,bahar_2017
W182421,2288,bahar_2017
W182422,1084,bahar_2017
W182423,2008,bahar_2017
W182425,2083,bahar_2017
W182426,2237,bahar_2017
W182427,2991,bahar_2017
W182428,2220,bahar_2017
W182430,2478,bahar_2017
W182431,2366,bahar_2017
W182432,2828,bahar_2017
W182433,1903,bahar_2017
W182434,2164,bahar_2017
W182435,2076,bahar_2017
W182436,1979,bahar_2017
W182438,1017,bahar_2017
W182440,1449,bahar_2017
W182441,2758,bahar_2017
W182442,1638,bahar_2017
W182443,1296,bahar_2017
W182444,1544,bahar_2017
W182445,3072,bahar_2017
W182446,2255,bahar_2017
W182447,775,bahar_2017
W182448,1792,bahar_2017
W182450,1091,bahar_2017
W182451,3728,bahar_2017
W182453,941,bahar_2017
W182454,1904,bahar_2017
W182455,1994,bahar_2017
W182457,2037,bahar_2017
W182458,2144,bahar_2017
W182459,3888,bahar_2017
W182460,2653,bahar_2017
W182461,1701,bahar_2017
W182462,2293,bahar_2017
W182463,602,bahar_2017
W182464,2360,bahar_2017
W182465,2807,bahar_2017
W182466,2472,bahar_2017
W182468,1748,bahar_2017
W182469,1935,bahar_2017
W182470,3115,bahar_2017
W182472,1275,bahar_2017
W182473,2731,bahar_2017
W182474,2027,bahar_2017
W182475,1955,bahar_2017
W182476,2229,bahar_2017
W182477,2285,bahar_2017
W182478,2631,bahar_2017
W182479,1344,bahar_2017
W182480,907,bahar_2017
W182482,2779,bahar_2017
W182483,2471,bahar_2017
W182484,1866,bahar_2017
W182486,2506,bahar_2017
W182487,2464,bahar_2017
W182488,2289,bahar_2017
W182489,4659,bahar_2017
W182490,2049,bahar_2017
W182491,2364,bahar_2017
W182492,2146,bahar_2017
W182493,1201,bahar_2017
W182494,1411,bahar_2017
W182496,846,bahar_2017
W182497,2520,bahar_2017
W182499,2329,bahar_2017
W182500,1665,bahar_2017
W182501,865,bahar_2017
W182502,2036,bahar_2017
W182503,913,bahar_2017
W182505,2483,bahar_2017
W182506,2087,bahar_2017
W182507,985,bahar_2017
W182509,1473,bahar_2017
W182510,1842,bahar_2017
W182511,872,bahar_2017
W182512,2386,bahar_2017
W182513,3630,bahar_2017
W182514,2866,bahar_2017
W182515,3292,bahar_2017
W182516,1119,bahar_2017
W182517,2476,bahar_2017
W182518,2704,bahar_2017
W182521,1002,bahar_2017
W182523,1803,bahar_2017
W182524,3134,bahar_2017
W182526,2195,bahar_2017
W182529,2139,bahar_2017
W182530,1828,bahar_2017
W182532,636,bahar_2017
W182533,2948,bahar_2017
W182534,3423,bahar_2017
W182535,2454,bahar_2017
W182537,3349,bahar_2017
W182541,3213,bahar_2017
W182545,2525,bahar_2017
W182546,1572,bahar_2017
W182551,1970,bahar_2017
W182552,3363,bahar_2017
W182553,1910,bahar_2017
W182554,2658,bahar_2017
W182556,2234,bahar_2017
W182560,2342,bahar_2017
W182561,2398,bahar_2017
W182562,1996,bahar_2017
W182563,1999,bahar_2017
W182570,1895,bahar_2017
W182574,1642,bahar_2017
W182575,631,bahar_2017
W182576,679,bahar_2017
W182577,860,bahar_2017
W182578,2070,bahar_2017
W182581,1529,bahar_2017
W182582,1056,bahar_2017
W182583,3564,bahar_2017
W182585,977,bahar_2017
W182586,2950,bahar_2017
W182593,2186,bahar_2017
W182594,2783,bahar_2017
W182601,2808,bahar_2017
W182604,1614,bahar_2017
W182606,1039,bahar_2017
W182609,659,bahar_2017
W182610,3800,bahar_2017
W182611,1429,bahar_2017
W182612,2766,bahar_2017
W182613,1897,bahar_2017
W182615,2066,bahar_2017
W182617,2569,bahar_2017
W182618,2079,bahar_2017
W182619,2074,bahar_2017
W182620,3281,bahar_2017
W182621,910,bahar_2017
W182622,459,bahar_2017
W182624,2469,bahar_2017
W182625,2312,bahar_2017
W182626,2830,bahar_2017
W182628,2117,bahar_2017
W182630,606,bahar_2017
W182632,2803,bahar_2017
W182633,810,bahar_2017
W182634,1893,bahar_2017
W182635,2003,bahar_2017
W182636,2475,bahar_2017
W182638,2741,bahar_2017
W182640,1863,bahar_2017
W182641,1924,bahar_2017
W182642,1959,bahar_2017
W182643,2103,bahar_2017
W182644,1132,bahar_2017
W182646,1332,bahar_2017
W182648,2527,bahar_2017
W182649,2283,bahar_2017
W182650,1776,bahar_2017
W182652,1668,bahar_2017
W182653,2172,bahar_2017
W182654,1311,bahar_2017
W182655,502,bahar_2017
W182657,3146,bahar_2017
W182658,2253,bahar_2017
W182659,1878,bahar_2017
W182660,2667,bahar_2017
W182661,1712,bahar_2017
W182662,2478,bahar_2017
W182664,2508,bahar_2017
W182665,809,bahar_2017
W182666,1609,bahar_2017
W182667,1463,bahar_2017
W182668,1122,bahar_2017
W182669,423,bahar_2017
W182672,1174,bahar_2017
W182673,2513,bahar_2017
W182675,1597,bahar_2017
W182679,2360,bahar_2017
W182680,1203,bahar_2017
W182682,3760,bahar_2017
W182683,984,bahar_2017
W182686,889,bahar_2017
W182687,1098,bahar_2017
W182688,1413,bahar_2017
W182690,1961,bahar_2017
W182692,1167,bahar_2017
W182694,1659,bahar_2017
W182695,854,bahar_2017
W182697,2523,bahar_2017
W182698,2685,bahar_2017
W182701,627,bahar_2017
W182704,477,bahar_2017
W182707,2921,bahar_2017
W182708,3585,bahar_2017
W182710,2889,bahar_2017
W182711,2711,bahar_2017
W182713,2045,bahar_2017
W182715,1281,bahar_2017
W182716,2774,bahar_2017
W182717,2143,bahar_2017
W182721,3051,bahar_2017
W182722,1696,bahar_2017
W182724,3096,bahar_2017
W182729,3120,bahar_2017
W182733,2527,bahar_2017
W182734,2510,bahar_2017
W182735,2231,bahar_2017
W182736,2462,bahar_2017
W182739,1568,bahar_2017
W182743,1803,bahar_2017
W182744,922,bahar_2017
W182745,1741,bahar_2017
W182747,1901,bahar_2017
W182751,2277,bahar_2017
W182753,1939,bahar_2017
W182756,1155,bahar_2017
W182761,2315,bahar_2017
W182764,2460,bahar_2017
W182774,1301,bahar_2017
W182775,584,bahar_2017
W182777,2568,bahar_2017
W182778,4177,bahar_2017
W182788,952,bahar_2017
W187025,2516,bahar_2017
