,gene_name,gene_id,dataset
210,Gtf2h4,ENSMUSG00000001524,snRNAseq2
211,Tubb5,ENSMUSG00000001525,snRNAseq2
212,Jup,ENSMUSG00000001552,snRNAseq2
213,Fkbp10,ENSMUSG00000001555,snRNAseq2
214,Klhl10,ENSMUSG00000001558,snRNAseq2
215,Mnx1,ENSMUSG00000001566,snRNAseq2
216,Nom1,ENSMUSG00000001569,snRNAseq2
217,Tnk1,ENSMUSG00000001583,snRNAseq2
218,Acap1,ENSMUSG00000001588,snRNAseq2
219,Tcea3,ENSMUSG00000001604,snRNAseq2
220,Csn3,ENSMUSG00000001622,snRNAseq2
221,Ifrd1,ENSMUSG00000001627,snRNAseq2
222,Brpf1,ENSMUSG00000001632,snRNAseq2
223,Akr1b3,ENSMUSG00000001642,snRNAseq2
224,Hoxc13,ENSMUSG00000001655,snRNAseq2
225,Hoxc8,ENSMUSG00000001657,snRNAseq2
226,Gstt1,ENSMUSG00000001663,snRNAseq2
227,Gstt3,ENSMUSG00000001665,snRNAseq2
228,Tat,ENSMUSG00000001670,snRNAseq2
229,Ddx18,ENSMUSG00000001674,snRNAseq2
230,Ubl3,ENSMUSG00000001687,snRNAseq2
231,Gramd3,ENSMUSG00000001700,snRNAseq2
232,Eef1e1,ENSMUSG00000001707,snRNAseq2
233,Akt1,ENSMUSG00000001729,snRNAseq2
234,Cldn15,ENSMUSG00000001739,snRNAseq2
235,Tcirg1,ENSMUSG00000001750,snRNAseq2
236,Naglu,ENSMUSG00000001751,snRNAseq2
237,Smo,ENSMUSG00000001761,snRNAseq2
238,Tspan33,ENSMUSG00000001763,snRNAseq2
239,Crnkl1,ENSMUSG00000001767,snRNAseq2
240,Rin2,ENSMUSG00000001768,snRNAseq2
241,Folh1,ENSMUSG00000001773,snRNAseq2
242,Fbxo7,ENSMUSG00000001786,snRNAseq2
243,Capns1,ENSMUSG00000001794,snRNAseq2
244,Dsg4,ENSMUSG00000001804,snRNAseq2
245,Evx2,ENSMUSG00000001815,snRNAseq2
246,Hoxd13,ENSMUSG00000001819,snRNAseq2
247,Hoxd12,ENSMUSG00000001823,snRNAseq2
248,Folr1,ENSMUSG00000001827,snRNAseq2
249,Clpb,ENSMUSG00000001829,snRNAseq2
250,Sept7,ENSMUSG00000001833,snRNAseq2
251,Zdhhc4,ENSMUSG00000001844,snRNAseq2
252,Nup214,ENSMUSG00000001855,snRNAseq2
253,Cpa3,ENSMUSG00000001865,snRNAseq2
254,Ltbp1,ENSMUSG00000001870,snRNAseq2
255,Ugp2,ENSMUSG00000001891,snRNAseq2
256,Kcnh6,ENSMUSG00000001901,snRNAseq2
257,Trmt1,ENSMUSG00000001909,snRNAseq2
258,Nacc1,ENSMUSG00000001910,snRNAseq2
259,Nfix,ENSMUSG00000001911,snRNAseq2
260,Uba1,ENSMUSG00000001924,snRNAseq2
261,Siae,ENSMUSG00000001942,snRNAseq2
262,Vsig2,ENSMUSG00000001943,snRNAseq2
263,Esam,ENSMUSG00000001946,snRNAseq2
264,Spa17,ENSMUSG00000001948,snRNAseq2
265,Fam50a,ENSMUSG00000001962,snRNAseq2
266,Emd,ENSMUSG00000001964,snRNAseq2
267,Taco1,ENSMUSG00000001983,snRNAseq2
268,Npas1,ENSMUSG00000001988,snRNAseq2
269,Sipa1l2,ENSMUSG00000001995,snRNAseq2
270,Ap4e1,ENSMUSG00000001998,snRNAseq2
271,Srpk3,ENSMUSG00000002007,snRNAseq2
272,Idh3g,ENSMUSG00000002010,snRNAseq2
273,Pnck,ENSMUSG00000002012,snRNAseq2
274,Ssr4,ENSMUSG00000002014,snRNAseq2
275,Bcap31,ENSMUSG00000002015,snRNAseq2
276,Fam98a,ENSMUSG00000002017,snRNAseq2
277,Kmt2a,ENSMUSG00000002028,snRNAseq2
278,Tmem25,ENSMUSG00000002032,snRNAseq2
279,Trappc6a,ENSMUSG00000002043,snRNAseq2
280,Supt6,ENSMUSG00000002052,snRNAseq2
281,Spag5,ENSMUSG00000002055,snRNAseq2
282,Foxn1,ENSMUSG00000002057,snRNAseq2
283,Unc119,ENSMUSG00000002058,snRNAseq2
284,Sdf2,ENSMUSG00000002064,snRNAseq2
285,Hsf2bp,ENSMUSG00000002076,snRNAseq2
286,Mybpc3,ENSMUSG00000002100,snRNAseq2
287,Psmc3,ENSMUSG00000002102,snRNAseq2
288,Acp2,ENSMUSG00000002103,snRNAseq2
289,Rapsn,ENSMUSG00000002104,snRNAseq2
290,Slc39a13,ENSMUSG00000002105,snRNAseq2
291,Ddb2,ENSMUSG00000002109,snRNAseq2
292,Spi1,ENSMUSG00000002111,snRNAseq2
293,Sf3a1,ENSMUSG00000002129,snRNAseq2
294,Stat6,ENSMUSG00000002147,snRNAseq2
295,Clgn,ENSMUSG00000002190,snRNAseq2
296,Napsa,ENSMUSG00000002204,snRNAseq2
297,Vrk3,ENSMUSG00000002205,snRNAseq2
298,Smg9,ENSMUSG00000002210,snRNAseq2
299,Paxip1,ENSMUSG00000002221,snRNAseq2
300,Rhoc,ENSMUSG00000002233,snRNAseq2
301,Prr27,ENSMUSG00000002240,snRNAseq2
302,Ppard,ENSMUSG00000002250,snRNAseq2
303,Def6,ENSMUSG00000002257,snRNAseq2
304,Metrn,ENSMUSG00000002274,snRNAseq2
305,Lmf1,ENSMUSG00000002279,snRNAseq2
306,Narfl,ENSMUSG00000002280,snRNAseq2
307,Angptl4,ENSMUSG00000002289,snRNAseq2
308,Dbf4,ENSMUSG00000002297,snRNAseq2
309,Daxx,ENSMUSG00000002307,snRNAseq2
310,Cd320,ENSMUSG00000002308,snRNAseq2
311,Ipo4,ENSMUSG00000002319,snRNAseq2
312,Tm9sf1,ENSMUSG00000002320,snRNAseq2
313,Rec8,ENSMUSG00000002324,snRNAseq2
314,Irf9,ENSMUSG00000002325,snRNAseq2
315,Gmpr2,ENSMUSG00000002326,snRNAseq2
316,Mdp1,ENSMUSG00000002329,snRNAseq2
317,Dhrs1,ENSMUSG00000002332,snRNAseq2
318,Ncan,ENSMUSG00000002341,snRNAseq2
319,Tmem161a,ENSMUSG00000002342,snRNAseq2
320,Armc6,ENSMUSG00000002343,snRNAseq2
321,Borcs8,ENSMUSG00000002345,snRNAseq2
322,Slc25a42,ENSMUSG00000002346,snRNAseq2
323,Ranbp3,ENSMUSG00000002372,snRNAseq2
324,Ndufa11,ENSMUSG00000002379,snRNAseq2
325,Nr2f6,ENSMUSG00000002393,snRNAseq2
326,Use1,ENSMUSG00000002395,snRNAseq2
327,Ocel1,ENSMUSG00000002396,snRNAseq2
328,Dyrk1b,ENSMUSG00000002409,snRNAseq2
329,Hltf,ENSMUSG00000002428,snRNAseq2
330,Abhd3,ENSMUSG00000002475,snRNAseq2
331,Snrpd1,ENSMUSG00000002477,snRNAseq2
332,Tchp,ENSMUSG00000002486,snRNAseq2
333,Tiam1,ENSMUSG00000002489,snRNAseq2
334,Tsc2,ENSMUSG00000002496,snRNAseq2
335,Rpl3l,ENSMUSG00000002500,snRNAseq2
336,Slc9a3r2,ENSMUSG00000002504,snRNAseq2
337,Puf60,ENSMUSG00000002524,snRNAseq2
338,Golga2,ENSMUSG00000002546,snRNAseq2
339,Uck1,ENSMUSG00000002550,snRNAseq2
340,Scin,ENSMUSG00000002565,snRNAseq2
341,Ikzf4,ENSMUSG00000002578,snRNAseq2
342,Mien1,ENSMUSG00000002580,snRNAseq2
343,Axl,ENSMUSG00000002602,snRNAseq2
344,Tgfb1,ENSMUSG00000002603,snRNAseq2
345,Zfp40,ENSMUSG00000002617,snRNAseq2
346,Akap8l,ENSMUSG00000002625,snRNAseq2
347,Shh,ENSMUSG00000002633,snRNAseq2
348,Clpp,ENSMUSG00000002660,snRNAseq2
349,Dennd1c,ENSMUSG00000002668,snRNAseq2
350,Med6,ENSMUSG00000002679,snRNAseq2
351,Prkd1,ENSMUSG00000002688,snRNAseq2
352,Cse1l,ENSMUSG00000002718,snRNAseq2
353,Naa20,ENSMUSG00000002728,snRNAseq2
354,Fkbp7,ENSMUSG00000002732,snRNAseq2
355,Ykt6,ENSMUSG00000002741,snRNAseq2
356,Baz1b,ENSMUSG00000002748,snRNAseq2
357,Pex6,ENSMUSG00000002763,snRNAseq2
358,Mrpl2,ENSMUSG00000002767,snRNAseq2
359,Mea1,ENSMUSG00000002768,snRNAseq2
360,Gnmt,ENSMUSG00000002769,snRNAseq2
361,Grin2d,ENSMUSG00000002771,snRNAseq2
362,Kdelr1,ENSMUSG00000002778,snRNAseq2
363,Tmem143,ENSMUSG00000002781,snRNAseq2
364,Pdxk-ps,ENSMUSG00000002791,snRNAseq2
365,Ggct,ENSMUSG00000002797,snRNAseq2
366,Flii,ENSMUSG00000002812,snRNAseq2
367,Top3a,ENSMUSG00000002814,snRNAseq2
368,Atg4d,ENSMUSG00000002820,snRNAseq2
369,Qtrt1,ENSMUSG00000002825,snRNAseq2
370,Plin4,ENSMUSG00000002831,snRNAseq2
371,Hdgfl2,ENSMUSG00000002833,snRNAseq2
372,Chaf1a,ENSMUSG00000002835,snRNAseq2
373,Adprh,ENSMUSG00000002844,snRNAseq2
374,Tmem39a,ENSMUSG00000002845,snRNAseq2
375,Timmdc1,ENSMUSG00000002846,snRNAseq2
376,Pla1a,ENSMUSG00000002847,snRNAseq2
377,Mcm2,ENSMUSG00000002870,snRNAseq2
378,Tpra1,ENSMUSG00000002871,snRNAseq2
379,Adgre5,ENSMUSG00000002885,snRNAseq2
380,Il17ra,ENSMUSG00000002897,snRNAseq2
381,Lamb1,ENSMUSG00000002900,snRNAseq2
382,Kcnn1,ENSMUSG00000002908,snRNAseq2
383,Arrdc2,ENSMUSG00000002910,snRNAseq2
384,Ppp1r17,ENSMUSG00000002930,snRNAseq2
385,Timm44,ENSMUSG00000002949,snRNAseq2
386,Ap2a2,ENSMUSG00000002957,snRNAseq2
387,Pnkp,ENSMUSG00000002963,snRNAseq2
388,Med25,ENSMUSG00000002968,snRNAseq2
389,Bcam,ENSMUSG00000002980,snRNAseq2
390,Clptm1,ENSMUSG00000002981,snRNAseq2
391,Relb,ENSMUSG00000002983,snRNAseq2
392,Tomm40,ENSMUSG00000002984,snRNAseq2
393,Apoe,ENSMUSG00000002985,snRNAseq2
394,Apoc2,ENSMUSG00000002992,snRNAseq2
395,Cdkn1b,ENSMUSG00000003031,snRNAseq2
396,Klf4,ENSMUSG00000003032,snRNAseq2
397,Ap1m1,ENSMUSG00000003033,snRNAseq2
398,Hmgn2,ENSMUSG00000003038,snRNAseq2
399,Fam32a,ENSMUSG00000003039,snRNAseq2
400,Elf3,ENSMUSG00000003051,snRNAseq2
401,Cyp2c29,ENSMUSG00000003053,snRNAseq2
402,Stk11,ENSMUSG00000003068,snRNAseq2
403,Efna2,ENSMUSG00000003070,snRNAseq2
404,Atp5d,ENSMUSG00000003072,snRNAseq2
405,Ppp5c,ENSMUSG00000003099,snRNAseq2
406,Cdk12,ENSMUSG00000003119,snRNAseq2
407,Slc2a3,ENSMUSG00000003153,snRNAseq2
408,Foxj2,ENSMUSG00000003154,snRNAseq2
409,Sri,ENSMUSG00000003161,snRNAseq2
410,Dgcr2,ENSMUSG00000003166,snRNAseq2
411,Irf3,ENSMUSG00000003184,snRNAseq2
412,Zfp959,ENSMUSG00000003198,snRNAseq2
413,Mpnd,ENSMUSG00000003199,snRNAseq2
414,Sh3gl1,ENSMUSG00000003200,snRNAseq2
415,Ebi3,ENSMUSG00000003206,snRNAseq2
416,Ccdc94,ENSMUSG00000003208,snRNAseq2
417,Ranbp2,ENSMUSG00000003226,snRNAseq2
418,Edar,ENSMUSG00000003227,snRNAseq2
419,Grk5,ENSMUSG00000003228,snRNAseq2
420,Dvl3,ENSMUSG00000003233,snRNAseq2
421,Abcf3,ENSMUSG00000003234,snRNAseq2
422,Eif2b5,ENSMUSG00000003235,snRNAseq2
423,Cyth2,ENSMUSG00000003269,snRNAseq2
424,Sult2b1,ENSMUSG00000003271,snRNAseq2
425,Car11,ENSMUSG00000003273,snRNAseq2
426,Dlgap1,ENSMUSG00000003279,snRNAseq2
427,Plag1,ENSMUSG00000003282,snRNAseq2
428,Hck,ENSMUSG00000003283,snRNAseq2
429,Mrpl4,ENSMUSG00000003299,snRNAseq2
430,Keap1,ENSMUSG00000003308,snRNAseq2
431,Ap1m2,ENSMUSG00000003309,snRNAseq2
432,Glg1,ENSMUSG00000003316,snRNAseq2
433,Atp8b3,ENSMUSG00000003341,snRNAseq2
434,Btbd2,ENSMUSG00000003344,snRNAseq2
435,Csnk1g2,ENSMUSG00000003345,snRNAseq2
436,Mob3a,ENSMUSG00000003348,snRNAseq2
437,Cacnb3,ENSMUSG00000003352,snRNAseq2
438,Ccdc65,ENSMUSG00000003354,snRNAseq2
439,Fkbp11,ENSMUSG00000003355,snRNAseq2
440,Ddx23,ENSMUSG00000003360,snRNAseq2
441,Pld3,ENSMUSG00000003363,snRNAseq2
442,Grik5,ENSMUSG00000003378,snRNAseq2
443,Cd79a,ENSMUSG00000003379,snRNAseq2
444,Etv3,ENSMUSG00000003382,snRNAseq2
445,Prkcsh,ENSMUSG00000003402,snRNAseq2
446,Rab3b,ENSMUSG00000003411,snRNAseq2
447,St8sia6,ENSMUSG00000003418,snRNAseq2
448,Fcgrt,ENSMUSG00000003420,snRNAseq2
449,Nosip,ENSMUSG00000003421,snRNAseq2
450,Pih1d1,ENSMUSG00000003423,snRNAseq2
451,Rps11,ENSMUSG00000003429,snRNAseq2
452,Supt5,ENSMUSG00000003435,snRNAseq2
453,Dll3,ENSMUSG00000003436,snRNAseq2
454,Paf1,ENSMUSG00000003437,snRNAseq2
455,Timm50,ENSMUSG00000003438,snRNAseq2
456,Med29,ENSMUSG00000003444,snRNAseq2
457,Bicd1,ENSMUSG00000003452,snRNAseq2
458,Ncstn,ENSMUSG00000003458,snRNAseq2
459,Phyhip,ENSMUSG00000003469,snRNAseq2
460,Crhr2,ENSMUSG00000003476,snRNAseq2
461,Inmt,ENSMUSG00000003477,snRNAseq2
462,Cyp4f18,ENSMUSG00000003484,snRNAseq2
463,Impdh1,ENSMUSG00000003500,snRNAseq2
464,Psg18,ENSMUSG00000003505,snRNAseq2
465,Dusp3,ENSMUSG00000003518,snRNAseq2
466,Prodh,ENSMUSG00000003526,snRNAseq2
467,Dgcr14,ENSMUSG00000003527,snRNAseq2
468,Slc25a1,ENSMUSG00000003528,snRNAseq2
469,Dgcr6,ENSMUSG00000003531,snRNAseq2
470,Ddr1,ENSMUSG00000003534,snRNAseq2
471,Ier3,ENSMUSG00000003541,snRNAseq2
472,Fosb,ENSMUSG00000003545,snRNAseq2
473,Klc4,ENSMUSG00000003546,snRNAseq2
474,Ercc1,ENSMUSG00000003549,snRNAseq2
475,Cyp17a1,ENSMUSG00000003555,snRNAseq2
476,As3mt,ENSMUSG00000003559,snRNAseq2
477,Homer3,ENSMUSG00000003573,snRNAseq2
478,Crtc1,ENSMUSG00000003575,snRNAseq2
479,Sec14l2,ENSMUSG00000003585,snRNAseq2
480,Aven,ENSMUSG00000003604,snRNAseq2
481,Rps6ka1,ENSMUSG00000003644,snRNAseq2
482,Calb2,ENSMUSG00000003657,snRNAseq2
483,Has1,ENSMUSG00000003665,snRNAseq2
484,Kpna6,ENSMUSG00000003731,snRNAseq2
485,Man1a,ENSMUSG00000003746,snRNAseq2
486,Itpkc,ENSMUSG00000003752,snRNAseq2
487,Coq8b,ENSMUSG00000003762,snRNAseq2
488,Brd8,ENSMUSG00000003778,snRNAseq2
489,Kif20a,ENSMUSG00000003779,snRNAseq2
490,Farsa,ENSMUSG00000003808,snRNAseq2
491,Gcdh,ENSMUSG00000003809,snRNAseq2
492,Mast2,ENSMUSG00000003810,snRNAseq2
493,Dnase2a,ENSMUSG00000003812,snRNAseq2
494,Rad23a,ENSMUSG00000003813,snRNAseq2
495,Calr,ENSMUSG00000003814,snRNAseq2
496,Syce2,ENSMUSG00000003824,snRNAseq2
497,Nfat5,ENSMUSG00000003847,snRNAseq2
498,Nqo1,ENSMUSG00000003849,snRNAseq2
499,Ppfia3,ENSMUSG00000003863,snRNAseq2
