HumanGeneID	HumanModule	HumanPadj	MouseGeneID	MouseModule	MousePadj	ProfileCorrelation
TCF25	35	6.68619084386759e-12	Tcf25;mKIAA1049	1	4.88075603924524e-08	0.895827892253786
ORMDL3	34	1.70930898237459e-05	Ormdl3	1	5.10394851798691e-06	0.895653196243095
GLUL	33	0.000660425574960533	Glul	1	4.14180900117214e-14	0.895386181735357
GPD1	35	0.0013248036056387	Gpd1	1	1.38772239217975e-06	0.894248959075285
AKR7A2	32	0.00137866301290733	Akr7a5	1	2.24328423907114e-07	0.893270437424273
EIF5A	35	3.29702050001155e-10	Eif5a	1	7.7259486825304e-10	0.893151628918627
H1F0	35	1.20917422649927e-06	H1f0;Icam1	1	1.29598079137343e-05	0.891851116289607
NDUFS2	35	3.01468556180902e-05	Ndufs2	1	0.00915761219852131	0.891159881596995
NDRG2	35	1.82982198589492e-13	Ndrg2	1	9.4501325947649e-27	0.889725929596369
CYB5R3	34	3.38004030296521e-09	Cyb5r3	1	3.79451250957424e-06	0.889213944920844
NFE2L1	34	4.10452175832564e-09	Nfe2l1	1	1.31143351180591e-06	0.888632251307686
NUDC	35	6.6377921709074e-09	Nudc	1	9.97024287320655e-05	0.886289154346263
NFIC	35	1.77089534379793e-09	Nfic	1	2.67741666372876e-17	0.884735379318218
CISD3	32	2.23019436349925e-07	Cisd3	1	0.011575451138293	0.877731573773962
SLC25A10	32	2.0632622005259e-06	Slc25a10	1	8.96817800549794e-05	0.87660830863961
FN1	1	2.53661774401053e-27	Fn1	31	5.91045267365999e-12	0.876602714205034
IGFBP2	34	5.19939857166323e-05	Igfbp2	7	0.000682703071811602	0.875990942344847
SELENBP1	34	1.09385910743516e-19	Selenbp1	5	0.0184115951750922	0.8752567729621
TCEB2	34	4.7944436309588e-05	Tceb2	1	0.000897246921994438	0.872834192959792
C8A	1	4.4171180734905e-05	C8a	31	3.89459313989381e-30	0.872161181700562
DDX24	34	0.0823486024971731	Ddx24	5	0.236482638247266	0.871595610622061
RPS19	35	3.47878872810334e-14	Rps19	1	9.5698484115692e-20	0.871249476447381
ZBTB20	35	5.5572651335437e-16	Zbtb20;AK038731	4	0.21252871942081	0.870685972466517
BDH1	35	3.4209548078918e-14	Bdh1	1	2.09122954440145e-15	0.869311764250786
ETFDH	1	0.000346892649294111	Etfdh	29	6.00502749687077e-09	0.869305718781244
HYAL1	35	0.0639706058254057	Hyal1;Nat6;Hyal3	1	0.00265551323005559	0.868469540703766
PGRMC1	1	2.45958755440155e-29	Pgrmc1	31	0.00517686718657419	0.8678132512307
F9	1	7.93479520044384e-09	F9	31	8.24551107001449e-07	0.861374557666201
CFI	1	2.00481919193828e-08	Cfi	31	2.04230004037726e-72	0.860838252228155
REEP3	3	0.529058838900217	Reep3	19	0.170240734548211	0.859450780318748
ATP5D	35	8.6157099823614e-11	Atp5d	1	1.2094921021936e-11	0.859390616808346
TDO2	1	3.10856597968315e-09	Tdo2	31	2.5874759221286e-69	0.858814113289309
SLC27A2	1	2.6471639412272e-09	Slc27a2	31	3.57137384677116e-10	0.855728571339856
EIF4G1	35	2.58700943841239e-13	Eif4g1	1	1.02322509469468e-14	0.855126487972638
MLXIPL	35	1.7488323861446e-53	Mlxipl;Wbscr14	1	0.00581649453794279	0.854784325819747
CES1	24	3.74889479144375e-25	Ces1d	7	2.17595632873925e-08	0.854611571168521
FAH	35	4.70525299928971e-07	Fah	1	1.69639123002405e-17	0.850961504147597
TOMM6	35	0.00359836719449354	Tomm6	1	5.47521150558258e-07	0.850844833253627
ECHDC3	18	0.618272460011392	Echdc3	1	0.19476822287119	0.847873872400591
HSP90AB1	35	1.90777477187925e-17	Hsp90ab1	1	4.30463681966641e-15	0.847602842685021
HAGH	34	5.02975491094172e-05	Hagh	1	2.2190904704217e-13	0.847374287623447
HEBP1	33	0.251503792377909	Hebp1	1	1.73502965577859e-07	0.846898529096163
IDH2	32	2.60293304034251e-14	Idh2	1	3.22744601700634e-05	0.845075304532626
POR	34	1.56621794843414e-36	Por	1	6.69267914700467e-50	0.845036785995383
GOLGB1	35	4.03503545482149e-11	AK089379;Golgb1	1	0.000429775040623008	0.844769652330385
AKR1A1	35	0.000193644147872301	Akr1a4	1	0.000247835725472981	0.842105464030232
RPL36	33	1.61903067225037e-08	Rpl36	1	0.00130915007927927	0.841309898991275
FERMT2	35	0.00104776719882925	Fermt2	1	2.71802766326144e-05	0.84128681554561
DAP3	27	0.482064020052753	Dap3	1	0.0195924480004647	0.840277247549585
ACSL1	1	1.52906648669004e-11	Acsl1	29	5.4967984980242e-05	0.839360488711306
GYS2	1	1.84725638438292e-07	Gys2	24	0.0890089747438747	0.838115439873638
ZFAND3	31	0.0687190225596524	Zfand3	1	8.41721208346111e-05	0.83600922426857
NDUFB10	35	0.00405362576953147	Ndufb10	2	0.00173527155004852	0.834518659433097
FTH1	35	1.4106885103879e-10	Fth1	1	1.94222683155302e-05	0.833009157930159
DCXR	34	2.09091564123945e-40	Dcxr	1	1.46987995230794e-07	0.831962849702471
AAMP	35	0.0107717872138333	Aamp	1	1.97001809291177e-09	0.829956904393219
MLF2	35	7.52861134169467e-06	Mlf2	1	0.00100319957506444	0.829469235704758
EEF2	35	8.89213951196328e-08	Eef2	1	3.8988589033489e-13	0.828583152596643
SDC4	34	6.86324751725954e-09	Sdc4	1	1.82799450720488e-13	0.827913450397862
KRT18	35	8.20090521036133e-05	Krt18	1	8.07287146894893e-06	0.826989523812935
ATOX1	34	4.41518346420318e-05	Atox1	1	4.8086198748454e-24	0.822174027697283
LIPC	10	1.11642798648804e-05	Lipc	24	0.00339591732379368	0.820956425109346
CTSD	35	4.4747582670515e-33	Ctsd	1	0.000303135374566812	0.818169566989314
MAT1A	33	4.35793063913463e-10	Mat1a	1	2.26642116161691e-08	0.818016078060121
VPS25	34	0.0210386298501396	Ramp2;Vps25	1	0.0394120883482853	0.817496842447072
RABAC1	34	0.00188857682638754	Pra1;Rabac1	1	8.11329168989491e-06	0.816431577750915
GCGR	34	1.08582784288603e-21	Gcgr	5	0.270224105418841	0.816085236757184
GSTZ1	32	8.3383142908369e-05	Gstz1	1	2.04036689702146e-11	0.815826594420209
RPL13	35	4.55792498368936e-11	Rpl13	1	0.00255844921866409	0.81569581849487
GPX4	35	1.08994603351045e-10	Gpx4;GPx4	1	0.000293168765126023	0.815483199202383
GABARAPL1	34	0.000138525732191932	Gabarapl1	1	2.95841046835311e-32	0.814361541585911
APOC1	35	1.96128837974194e-34	Apoc1	1	1.04657624108275e-65	0.811665476300851
HINT2	33	0.00999963704995526	Hint2	1	2.31877538387499e-19	0.809420290231297
DYNLRB1	32	0.000857559179839919	Dynlrb1	1	3.23010729737341e-08	0.808460908469359
HNF4A	35	2.20275886308229e-05	Hnf4a	1	3.31102541951376e-09	0.805499683192323
HRSP12	3	7.28614768373717e-26	Hrsp12	31	1.5116147441426e-83	0.804458021817942
RPL18A	33	0.0089729060731643	Gm15427;Rpl18a	1	8.51237065072057e-08	0.803010246659022
MSRB1	34	5.1030566667196e-07	Sepx1	1	0.000180125344777355	0.802147501183466
EHHADH	1	0.000283263007177897	Ehhadh	31	8.74729193520884e-10	0.801708163164759
CYP3A4	1	4.20568606852617e-20	Cyp3a13	31	0.00116256040854766	0.801142947085651
SNRPB	35	0.00259850870449305	Snrpb	1	0.0330359665551849	0.800147807676145
CALR	34	1.53807130594611e-08	Calr	5	0.308807586630374	0.799886736413259
ATP6V1F	34	0.000624274396400946	Atp6v1f	2	0.000207787965023638	0.798697310965869
APOF	10	0.0169370002971289	Apof	31	6.19144557914385e-08	0.798332578370233
CD82	35	1.79979386423788e-09	Cd82	1	0.000107780354305209	0.797966516200802
MTTP	1	1.04399688014367e-16	Mttp	31	0.00231721679414134	0.79772288074683
PHB2	35	8.95101245468291e-08	Phb2	1	7.97377217049444e-05	0.796995013181353
HERPUD1	1	0.000145128988856298	Herpud1	29	4.04703456313129e-13	0.796232074679986
ACIN1	35	2.11190723484957e-14	Acin1	1	0.0466349043929382	0.796154671985179
COX6B1	35	6.50606831076784e-18	Cox6b1	2	0.00256194675628521	0.795766174220885
FAM214A	18	0.40521451469005	BC031353	1	0.160932419050844	0.795288730335018
VCP	35	5.28525090667019e-08	Vcp	1	1.50881072064123e-11	0.794531615754305
PSMD8	34	0.0124691854421923	Psmd8	1	0.00173438487920228	0.793808780450802
ASGR1	34	3.82479489249413e-20	Asgr1	1	0.000488366157349996	0.793469037951512
LHPP	34	0.0143736551701427	Lhpp	1	2.72740632230417e-30	0.791941748885338
MAFG	34	0.017444764440733	Mafg	1	2.69182213305331e-05	0.791329699699565
JTB	33	0.202613016803352	Jtb	15	0.87580544240553	0.790387956418843
CYP1A2	34	9.2425357990827e-20	Cyp1a2	1	2.04312436802868e-112	0.789259858641597
ANGPTL3	1	5.31570375364341e-27	Angptl3	31	1.25203373176924e-06	0.788883739426614
GJB1	34	1.43818500378534e-12	Gjb1	1	2.51670193863556e-13	0.78846297941544
EPN1	32	4.41613160432813e-15	Epn1	1	0.000684962852776097	0.786832246946609
SMDT1	35	0.0879418487084343	1500032L24Rik	1	5.87098081807359e-13	0.785826309168109
SLC2A2	1	4.52430117753286e-11	Slc2a2	31	7.78808108788916e-08	0.783371646700778
YPEL3	31	0.00619777882162738	Ypel3	1	4.13495841925472e-06	0.778728435741816
BAZ1B	35	9.29278130897358e-06	Baz1b;Wbscr9	1	0.00275041473584562	0.77869274634979
SLC1A2	35	0.0898265088183083	Slc1a2	1	9.63215807499337e-19	0.773360881106349
PSMD1	33	0.000810077829368417	Psmd1	1	0.00013680311723357	0.77317955073356
ANP32B	34	0.00673801188893558	Anp32b	1	0.00786892699871279	0.772886908334802
DST	35	1.68521170182831e-16	Dst;Bpag1	1	0.0272006566878528	0.772325589508274
NCL	35	5.04974978963536e-11	Ncl	2	3.11696156133086e-07	0.771834087981273
ABCF1	35	8.98459571646257e-07	Abcf1;Mir877	1	5.30537076232127e-05	0.771701082503141
RPL35	32	0.0285759593412486	Rpl35	1	0.000136821177430004	0.770269799214131
BST2	35	1.85047275588008e-15	Bst2	1	7.83045706310331e-08	0.768852726469225
LARP1	34	6.6603466808136e-07	Larp1	1	5.17170368028726e-05	0.768536970030278
ZBTB7A	35	1.02344568238575e-05	Zbtb7a	1	3.34024271962577e-08	0.766183191933232
KDELR1	35	0.00165704102970848	Kdelr1	1	0.00157041807976303	0.76589970296751
SLC25A23	35	6.19653251201468e-05	Slc25a23	1	0.174823203543959	0.763986549649039
RPN2	1	0.000727126837212999	Rpn2	31	0.000363278261740459	0.762639335072192
RPS9	35	9.35494637848357e-19	Rps9	1	9.16867158960342e-23	0.76063144036066
ALDH3A2	35	0.0018553447033984	Aldh3a2	1	3.2941754868815e-107	0.760461944310205
JUN	35	8.84436878483759e-16	Jun	1	0.00212651615906276	0.759958563626309
ZDHHC9	34	0.0210386298501396	Zdhhc9	4	0.948326054560104	0.758574518148611
CALD1	35	1.32139881701954e-10	Cald1	1	1.57597096801234e-07	0.757483986302904
ACAA1	35	2.1154254853678e-11	Acaa1b	1	2.43270638411666e-26	0.756024314391511
ETNK2	35	5.13872132856474e-09	Etnk2	1	2.14621505180905e-08	0.754714026677482
RGN	35	0.0480124603251943	Rgn	1	2.61361726499844e-28	0.753563679376673
RAB14	34	0.0329154415766228	Rab14	1	0.0165140752587842	0.751434246451452
SMARCA2	35	0.168503195009427	Smarca2	1	0.000361826932102169	0.75131486863316
RPS14	32	0.000135117571877787	Rps14	1	5.85252823644314e-12	0.75119864923983
TOMM40	35	3.45452384977501e-07	Tom40;Tomm40	1	3.38378398301104e-06	0.748660310329682
GAMT	35	1.33276555200721e-17	Gamt	1	0.0698876329468811	0.747466734932977
TTC36	32	0.00148653305147399	Ttc36	1	1.72712633882611e-13	0.747011920468744
SEC14L2	35	2.03004960502643e-09	Sec14l2	1	5.66334873668668e-16	0.745317468797105
S100A10	31	6.74298176086049e-07	S100a10	1	1.04608949768519e-05	0.745231645285378
FCGRT	35	7.6290109189627e-10	Fcgrt	1	0.000188640145746445	0.744718016578544
MRPL37	35	0.000104946263531688	Mrpl37	1	0.0178398574513474	0.743610536829946
CHCHD10	35	3.73865532929569e-08	Chchd10	1	9.46463064794001e-45	0.741200552026874
NEDD8	35	0.00477640395778271	Nedd8	1	4.47521361650093e-10	0.740621103660867
IVD	35	4.7914233668668e-12	Ivd	1	0.0182262228276935	0.740034711156425
MAPKAPK2	32	0.000533399653853535	Mapkapk2	1	1.6453622494827e-12	0.735591156003594
YIF1A	35	0.215106219290254	Yif1a	8	0.0558824624917151	0.735333853512349
AKAP1	34	0.00108389144402315	Akap1	1	0.000955222394751951	0.734646303441285
KLHDC3	35	0.000443999019678022	Klhdc3	4	0.51856663784339	0.734104229341337
REEP6	34	3.29681216105082e-11	Reep6	1	2.32055948690608e-11	0.733102106398449
DCAF11	35	3.83395970467026e-06	Dcaf11	5	0.0952240003278974	0.732684673870073
LPIN2	31	0.0350009877104816	Lpin2	1	6.32737226307114e-07	0.731797945445255
MRPL20	33	0.565508238519772	Mrpl20	1	0.457499359809657	0.728617095548921
COPE	35	8.08943354500627e-07	Cope;Cope1	1	0.215130713938735	0.728414157507912
LRP1	35	0.000836548618487265	Lrp1	1	0.00162271511027529	0.727200370304241
CANX	1	0.0194347695468902	Canx	24	0.173890220187517	0.726049468419918
AUP1	34	2.42266817245074e-05	Aup1	1	4.35503120450983e-09	0.721012381510555
SLC38A2	10	0.000515577832256439	Slc38a2	30	0.468544560712833	0.720220406158303
TUBB	35	1.18454443540276e-08	Tubb5	1	0.0178588886020068	0.718366534941867
HPN	34	2.27287587803964e-32	Hpn	1	5.82426981407324e-05	0.716108278237343
TCEA3	33	0.0687784582876092	Tcea3	1	0.000684962852776097	0.715664088264647
BLVRB	33	0.18019929637625	Blvrb	1	4.6668220813135e-53	0.715473544063586
RNF125	32	0.0116111027244351	Rnf125	1	3.15851733554119e-06	0.714751019560363
LAMTOR2	35	0.000175095423105047	Robld3	1	4.73721738092531e-06	0.714112593386718
BRD2	35	1.06040832100543e-07	Brd2	8	4.77941411169274e-05	0.711919521475467
TLN1	34	3.9118796228012e-06	mKIAA1027;Tln1	1	0.0170368455452024	0.711874268306272
RPLP1	33	5.3833193585785e-07	Rplp1	1	3.10047523109189e-30	0.711468803044544
PHF3	34	0.0096305311057218	Phf3	5	0.0069150247654776	0.710436982488405
AFM	1	0.000166982382081105	Afm	31	4.13658658938983e-21	0.710358532886285
ANGPTL4	35	3.11962812664001e-08	Angptl4	1	0.00441034288749597	0.70801082510985
CYP2A13	34	3.84790842791768e-16	Cyp2a5	1	7.43290240791733e-44	0.707274396211501
CDKN1A	34	0.070522231634705	Cdkn1a	1	0.136872749966018	0.702188883767722
CD302	3	0.14611619030965	Cd302	31	7.76630247115685e-08	0.701753182912289
KRT8	34	5.8268362419685e-15	Krt8	1	0.0074921116042235	0.698501867636004
TECR	34	6.8031835974176e-05	Tecr	7	0.150603313231873	0.696326178632621
GLTSCR2	33	4.26167001904261e-05	Gltscr2	1	0.588746944724347	0.695474092553636
PEMT	34	0.000195492586936527	Pemt	1	2.24328423907114e-07	0.693617488039587
BLOC1S1	33	0.000259223795734014	Bloc1s1	1	3.46161147943511e-07	0.693396825290039
NUCKS1	34	0.000316470430792161	Nucks1	5	0.0161336093384228	0.69280231594119
UBB	33	0.0214963083487197	Ubb;AK183279;Uba52;Ubc	1	3.87874500984557e-12	0.690543497425678
RDH16	34	3.23958468697393e-06	Rdh18-ps;Rdh16	1	1.59503679233041e-09	0.690386992642988
CFL1	35	9.3317910583969e-21	Cfl1	1	0.114003478218902	0.689352577506949
ATP6V1E1	31	0.191855131075389	Atp6v1e1	1	0.175829994378446	0.68791151587123
CSNK2B	32	0.0763556989005576	Csnk2b	1	0.150419774578796	0.687858225658955
TMEM205	34	2.45157818058994e-08	Tmem205	1	6.48340231284494e-28	0.684870139730614
GCSH	3	0.0689044571497433	Gcsh	31	0.00252225673340442	0.683498504060356
SLC25A39	35	0.000797090459535927	Slc25a39	7	0.0698290593126065	0.683412426812404
RTFDC1	33	0.0662782266219027	2410001C21Rik	1	0.00225231676471062	0.680651865218772
CLPTM1	34	0.00535285730196498	Clptm1	1	5.03275463092557e-06	0.679724478875558
COX6A1	34	3.01309874395729e-08	Cox6a1	1	1.32884994447268e-09	0.679414523323842
UQCRQ	33	0.292084349961702	Uqcrq	1	5.32081568452792e-18	0.678913450726474
SCP2	1	4.0680530620021e-15	Scp2	29	1.12886839005216e-12	0.678598819331737
NDUFB7	35	0.000246208437738392	Ndufb7	4	0.0150913658138405	0.678431247691298
PRRC2C	34	8.40760905445143e-26	Bat2d;Prrc2c;Bat2l2	5	0.00767867140403701	0.677325253341512
IGFBP4	34	2.76805805035034e-48	Igfbp4	1	4.60391845097303e-24	0.674208240213775
COX5B	35	0.00471692286773514	Cox5b	1	0.0285204068335482	0.673094123312211
ALDOB	1	3.85835129134579e-09	Aldob	31	2.16806911859044e-47	0.671187156277859
CDC42EP4	34	0.0771974880770128	Cdc42ep4	1	1.97577865761867e-05	0.670942124216421
MPST	35	6.11572121596399e-22	Mpst	2	0.0875026758707509	0.670668214720118
F5	34	0.0144746892041776	F5	1	0.308778466736211	0.669289860908924
RBM25	35	1.02601993874543e-27	Rbm25	7	0.170083674409102	0.668892375518066
ENTPD5	34	0.0180067768692617	Entpd5	1	5.0017651252399e-05	0.668536602120859
CDK5RAP3	35	9.16248712962676e-11	Cdk5rap3;AK188991	5	0.00688374763028845	0.667583674701295
CES3	34	0.144532637872166	Ces3a	1	6.55400232014657e-05	0.663900597478462
RPL8	32	3.25688173084841e-05	Rpl8	1	1.12823952384547e-08	0.663085516529759
SQSTM1	34	0.0263571978563905	Sqstm1	1	6.10493064411838e-05	0.662814554912276
FKBP4	35	0.000280489878373515	Fkbp4	1	0.0207461829316326	0.661547579662611
CHCHD7	24	0.888932963678519	Chchd7	8	0.617999707901802	0.661132601652736
RPLP2	33	2.45594158921761e-05	Rplp2	1	3.98877080623502e-11	0.659928321791865
RPS18	33	0.000548140996040827	Rps18	1	5.75063458142044e-16	0.659408013665648
GTF2H5	32	0.0378940331590931	Gtf2h5	1	0.0205468877495133	0.65593208883568
RPS10	32	4.07095241669681e-05	Rps10	1	4.48061470115393e-14	0.655425741116777
SIGMAR1	35	0.690987990404495	Sigmar1	4	0.917068254936155	0.654542716990399
PXDC1	34	0.000933636246984563	1300014I06Rik	1	8.67923598061789e-05	0.654192946762349
EPRS	24	0.366427415128142	Eprs	7	0.192964019942628	0.653703236882773
PCK1	1	4.39085355738693e-25	Pck1	29	6.89391751846487e-26	0.651929540092101
CDK2AP2	35	9.33380485371938e-05	Cdk2ap2	1	0.0221494763149044	0.650308897184844
UBA1	34	5.36905196665299e-08	Uba1	4	0.179669534135967	0.649477602829645
NDUFB8	33	0.73099063533654	Ndufb8	4	0.731725281953497	0.648245732651258
RPL37A	33	0.0701687391990943	Rpl37a	1	4.83888435883507e-11	0.645580724623186
H6PD	35	3.77933767481126e-21	H6pd	1	0.0865420211351657	0.64388359840695
FKBP2	35	1.19841755350867e-09	Fkbp2	1	1.39423936445397e-09	0.64069359187221
DGAT2	35	4.52479716529759e-07	Dgat2	1	1.59248602233741e-34	0.639847788289548
CTBP1	35	0.0230990057986971	Ctbp1	1	0.00927472695381259	0.638450115093762
NDUFA4	3	5.13082078393458e-12	Ndufa4	31	0.00151815240887589	0.63467671430745
NDUFA3	34	3.45851183980453e-05	Ndufa3	1	7.03610682211977e-07	0.634308981817014
HM13	35	1.72628652724426e-05	H13	1	0.00955031388810149	0.634042934119374
LAPTM4A	1	0.00012948733010367	Laptm4a	27	0.0899376436179386	0.633081968879275
ANKHD1-EIF4EBP3	35	5.31204040763253e-06	Eif4ebp3;Ankhd1	4	0.439747783648344	0.632356084666273
C9	1	7.98951382106693e-08	C9	31	1.48108816661118e-16	0.630709803788048
SC5D	1	6.20675373233141e-16	Sc5d	31	0.0280225676451108	0.628572271626902
CLUH	35	0.000148006751107334	1300001I01Rik	1	0.0209859207536093	0.623808487882702
SERINC3	23	0.14665321050179	Serinc3	28	3.05800815764531e-08	0.622815550637724
AKT1	34	0.00359457594649643	Akt1	1	0.364671335160835	0.621632556830448
ABCC3	34	6.81917246858052e-09	Abcc3	1	0.0123691696791422	0.619528549565752
RHOA	33	0.184946486827588	Rhoa	1	0.0324345131107796	0.616985638232865
CAPNS1	35	0.000146013071349922	Capns1	1	4.77941411169274e-05	0.615314267481813
PNPLA2	34	2.8271589692987e-09	Pnpla2	1	1.78757956414612e-08	0.614581497833216
PPARA	33	4.09844312732637e-11	Ppara	1	8.59391932164537e-12	0.614079818680487
NDUFA2	33	0.0487322285788698	Ndufa2	7	0.000363278261740459	0.613326717839906
CLMN	35	2.4866943459725e-12	Clmn;mKIAA1188	4	0.0984866439176481	0.61288127463398
ATN1	33	0.1712889938423	Atn1;Grcc10	1	0.00181651122862408	0.610724039426165
NDUFA11	34	6.25001438128506e-05	Ndufa11	1	0.0333224003207761	0.60972578846291
C1S	1	1.23132468436305e-10	C1s	31	9.20518986166305e-12	0.609342101403724
CNPY2	24	0.278989091404663	Cnpy2	1	0.00035814372021759	0.608283026537304
ATF5	35	1.66476364225749e-42	Atf5	7	0.000388915000620948	0.60749610485377
APOA5	34	1.24638795806077e-19	Apoa5	8	0.181859173635617	0.604696539970252
SF3B2	34	0.00764709910238147	Sf3b2	7	0.0651143250662634	0.603143034360656
HDLBP	34	3.39955972849903e-08	Hdlbp	5	0.0216211239746736	0.600427273876748
LRRFIP1	34	1.77767939040589e-06	Lrrfip1	5	0.416031720168689	0.599264256640599
TYROBP	33	0.0020507167261533	Tyrobp	1	0.184130907705579	0.598907243413502
HINT3	32	0.464655016313316	Hint3	1	0.347164947991583	0.597446431264313
NCOR1	35	0.0382088860626285	Ncor1	7	0.208468720018879	0.592426459381776
SLC39A14	1	3.35306300514952e-08	Slc39a14	30	0.00846798803039337	0.588937954467333
EIF4G3	27	0.174143905693196	Eif4g3	1	0.0274902147325917	0.58846485242543
SERPINA10	24	0.283041317556666	Serpina10	24	0.428470265730594	0.586994603584728
DRAP1	33	0.154415784017351	Drap1	4	0.456162593138832	0.586453540754456
C8B	24	0.509248427652895	C8b	31	0.000986952852031414	0.58612311710783
PPA1	1	0.00608578071259896	Ppa1	31	9.74646385851259e-10	0.585315970931897
CD81	34	2.00801996183229e-18	Cd81	1	0.00212651615906276	0.584124405073595
HSDL2	22	0.88222574058913	Hsdl2	28	6.6274546007968e-05	0.582486060496744
ATP1A1	25	0.67628181616256	Atp1a1	1	0.114600255914323	0.5804160250356
DECR1	3	0.000535534807736337	Decr1	29	0.00258154588529887	0.57997464484333
CYB5B	34	0.782389825677094	Cyb5b	1	0.00391537863690892	0.579371460888577
PSMD4	31	0.220248727195802	Psmd4	1	1.7694703662172e-16	0.577051432377859
CYP27A1	34	5.36905479798896e-08	Cyp27a1	1	4.23044430159465e-42	0.573395973787455
TOMM70A	1	0.626862615911283	Tomm70a	14	0.938971074073559	0.57309491982277
GANAB	34	8.96386055023585e-07	Ganab;mKIAA0088	8	0.18916692603868	0.571666730458026
TACC1	34	3.10948378455787e-05	Tacc1	8	0.18916692603868	0.571390149450251
DPP4	1	0.000190442206378728	Dpp4	28	0.0271713688034858	0.570411236231928
PLG	24	2.54181226826078e-08	Plg	31	3.2051544043317e-10	0.567548651933404
SEC63	23	0.0649816770307493	Sec63	8	0.489508950283675	0.566767539918804
CCSER2	33	0.396288093996662	Fam190b;Gcap14	12	0.533937112598377	0.566430479995661
RPS3	32	0.000165243314890578	Rps3;Snord15b	1	0.000467806036435721	0.565699779757278
LAMP2	10	0.010144957744692	Lamp2	31	1.18156241165489e-05	0.560498388460962
AP2S1	35	0.000166276872775745	Ap2s1	1	0.00614134044401257	0.558835706083911
PSMB3	35	0.00163970989657827	Psmb3	1	6.39424251002474e-05	0.557717699324982
